year,cumulative,revenue,rev_infl,title,lead_actor,director_name
1995,1.653699331,327311859,541275402.3,Se7en,Morgan Freeman,David Fincher
2006,1.255146149,326551094,409869348.1,The Devil Wears Prada,Meryl Streep,David Frankel
2014,1.052209187,325771424,342779685.3,Taken 3,Liam Neeson,Olivier Megaton
2000,1.47152684,325756637,479359634.6,The Perfect Storm,Karen Allen,Wolfgang Petersen
2009,1.138489257,325233863,370275259.2,A Christmas Carol,Robin Wright,Robert Zemeckis
2010,1.142551557,321887208,367772730.6,Megamind,J.K. Simmons,Tom McGrath
1992,1.799813376,321731527,579056705.7,Lethal Weapon 3,Rene Russo,Richard Donner
1993,1.746902839,321365567,561394421.3,Schindler's List,Liam Neeson,Steven Spielberg
2016,1.034185663,320170008,331115232.1,The Conjuring 2,Javier Botet,James Wan
1987,2.236322512,320145693,715949020.4,Fatal Attraction,Fred Gwynne,Adrian Lyne
2009,1.138489257,319131050,363327272.1,Inglourious Basterds,Michael Fassbender,Quentin Tarantino
2010,1.142551557,318502923,363906010.5,The Last Airbender,Seychelle Gabriel,M. Night Shyamalan
2013,1.067622291,318000141,339504039.1,The Conjuring,Mackenzie Foy,James Wan
2009,1.138489257,317375031,361328063.4,The Proposal,Ryan Reynolds,Anne Fletcher
1984,2.461039993,316360478,778575788.7,Beverly Hills Cop,Judge Reinhold,Martin Brest
1997,1.562764318,315156409,492515190.7,Air Force One,Harrison Ford,Wolfgang Petersen
2005,1.29773008,314432665,408048727.6,Chicken Little,Catherine O'Hara,Mark Dindal
1997,1.562764318,314178011,490986185.2,As Good as It Gets,Lupe Ontiveros,James L. Brooks
2001,1.423458672,313542341,446314564.4,A Beautiful Mind,Adam Goldberg,Ron Howard
2012,1.089714997,312573423,340615946.7,The Expendables 2,Jason Statham,Simon West
2015,1.035412488,311594032,322628351.9,The SpongeBob Movie: Sponge Out of Water,Tim Conway,Paul Tibbitt
2007,1.21592121,311312624,378531622.6,Ocean's Thirteen,Al Pacino,Steven Soderbergh
1999,1.503724247,310940086,467568146.8,Austin Powers: The Spy Who Shagged Me,Muse Watson,Jay Roach
2010,1.142551557,310669540,354955966.6,Robin Hood,Mark Addy,Ridley Scott
2010,1.142551557,310650585,354934309.5,Little Fockers,Robert De Niro,Paul Weitz
2008,1.182197002,309979994,366457419.5,Bolt,Chloë Grace Moretz,Byron Howard
1996,1.608572132,309492681,497841301.6,Ransom,Lili Taylor,Ron Howard
1999,1.503724247,309457509,465338759.8,Runaway Bride,Julia Roberts,Garry Marshall
2009,1.138489257,309208309,352030338.1,The Blind Side,Catherine Dyer,John Lee Hancock
2014,1.052209187,307166834,323203764.8,The Fault in Our Stars,Shailene Woodley,Josh Boone
2006,1.255146149,307077295,385426884.2,The Pursuit of Happyness,Will Smith,Gabriele Muccino
2012,1.089714997,306941670,334478941,Rise of the Guardians,Hugh Jackman,Peter Ramsey
2002,1.384334996,306776732,424681766.1,Chicago,Colm Feore,Rob Marshall
2004,1.332473386,305875730,407571269.7,The Polar Express,Tom Hanks,Robert Zemeckis
2013,1.067622291,304654182,325255595.8,A Good Day to Die Hard,Bruce Willis,John Moore
1998,1.527066244,304320254,464717187.4,Mulan,Ming-Na Wen,Tony Bancroft
1977,4.307270464,303788635,1308499815,Close Encounters of the Third Kind,Bob Balaban,Steven Spielberg
2012,1.089714997,303025485,330211415.5,Battleship,Liam Neeson,Peter Berg
1997,1.562764318,302710615,473065347.9,Liar Liar,Maura Tierney,Tom Shadyac
2009,1.138489257,302469017,344357726.5,G.I. Joe: The Rise of Cobra,Joseph Gordon-Levitt,Stephen Sommers
2012,1.089714997,301000000,328004214.1,Wrath of the Titans,Liam Neeson,Jonathan Liebesman
1991,1.876034824,300854823,564414124.8,Hook,Robin Williams,Steven Spielberg
1985,2.35956602,300400432,708814651.6,Rambo: First Blood Part II,Sylvester Stallone,George P. Cosmatos
